"","player_id","birth_date","first_name","height","last_name","name","position_abbreviation","salary","slug","playing_position_id","team_id"
"168","57ba30e6-df0d-4bb5-b912-1781eae4ef78","1991-08-27","Javorius",72,"Allen","Javorius Allen","RB",553618,"nfl-javorius-allen","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","15cdbc22-7b1e-4012-a731-987ca52e3c05"
"174","8a8031a7-b090-4c6c-93cf-24b73a1b55c3","1992-04-27","Keenan",74,"Allen","Keenan Allen","WR",753450,"nfl-keenan-allen","4934c69f-7843-4bab-97e8-8dc941a2a226","d1f76207-7303-484f-a25f-b00d1eb46ecd"
"183","515e6d86-def8-492a-bb85-32b0233a43ed","1990-02-25","RaShaun",76,"Allen","RaShaun Allen","TE",112200,"nfl-rashaun-allen","05da6032-e719-4daf-8e6a-95a440e448ea","545d6178-62b4-4e6e-a118-60e4f66d257d"
"190","7d7c4ef4-675e-48d8-9f6b-e27025ad50b6","1991-03-31","Torrence",72,"Allen","Torrence Allen","WR",318000,"nfl-torrence-allen","4934c69f-7843-4bab-97e8-8dc941a2a226","d1f76207-7303-484f-a25f-b00d1eb46ecd"
"195","5f901f5a-25ed-44f5-867c-df05cb5eac08","1994-01-18","Geronimo",75,"Allison","Geronimo Allison","WR",NA,"nfl-geronimo-allison","4934c69f-7843-4bab-97e8-8dc941a2a226","ade9a19b-3dfb-4436-aefd-e54f1c0d1a20"
"198","96c5af1b-4545-4ea9-a3b1-41f45f4c0892","1983-11-24","Anthony",69,"Alridge","Anthony Alridge","WR",NA,"nfl-anthony-alridge","4934c69f-7843-4bab-97e8-8dc941a2a226","6e1ae482-bd5e-40b3-a2d8-24c0a9eec333"
"204","be93b986-e610-462e-b37b-6268fbdb67bf","1992-06-26","Jace",77,"Amaro","Jace Amaro","TE",975680,"nfl-jace-amaro","05da6032-e719-4daf-8e6a-95a440e448ea","a8004516-b1d9-44df-b6ba-d5e4b7d9d1d7"
"208","15cedec1-a310-4d10-b3f7-f5e996514b2a","1985-11-02","Danny",71,"Amendola","Danny Amendola","WR",3116666,"nfl-danny-amendola","4934c69f-7843-4bab-97e8-8dc941a2a226","5546974d-27c2-4d93-a63e-d8320952e871"
"214","ededaa37-5f41-4ae4-b0e6-9b311d234603",NA,"DaShaun",72,"Amos","DaShaun Amos","WR",NA,"nfl-anthony-amos","4934c69f-7843-4bab-97e8-8dc941a2a226","47b8904b-4d56-481a-ab06-6e56dfe59f78"
"223","e5162ddc-6f22-4978-8851-7ffeb2856956","1992-10-02","Busta",76,"Anderson","Rory 'Busta' Anderson","TE",0,"nfl-rory-anderson","05da6032-e719-4daf-8e6a-95a440e448ea","009ff336-845b-411b-8ee5-9b3089e99398"
"226","6d260725-5889-4ff5-95c8-8253d762c24c","1991-02-10","C.J.",68,"Anderson","C.J. Anderson","RB",589167,"nfl-c-j-anderson","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","6e1ae482-bd5e-40b3-a2d8-24c0a9eec333"
"234","5b3044ec-4be6-4d79-8241-6cd5fe9d3f15","1983-06-15","Derek",78,"Anderson","Derek Anderson","QB",1764000,"nfl-derek-anderson","bca0ee16-51ba-4a18-9b2b-57412b101677","767f5024-184b-434b-9e52-90bb4375ca84"
"235","f5c9bed7-e46b-49bc-8327-26ad9600bec0","1992-07-20","Dres",74,"Anderson","Dres Anderson","WR",3200000,"nfl-dres-anderson","4934c69f-7843-4bab-97e8-8dc941a2a226","545d6178-62b4-4e6e-a118-60e4f66d257d"
"257","bf171aa7-497b-43f3-9935-77210a197a39","1993-05-09","Robby",75,"Anderson","Robby Anderson","WR",NA,"robby-anderson",NA,"8112be50-1ec2-47c0-ab27-b4fc4654aa5b"
"258","f90163b0-11b2-47a9-b5d9-296b830f5c95","1994-08-12","Ryan",74,"Anderson","Ryan Anderson","WR",NA,"nfl-robby-anderson","4934c69f-7843-4bab-97e8-8dc941a2a226","1c4f553a-bde3-4229-8565-9c40401a9956"
"260","3d626c1f-2b52-4a72-8f3c-20e44ca639ff","1993-01-30","Stephen",74,"Anderson","Stephen Anderson","TE",NA,"nfl-stephen-anderson","05da6032-e719-4daf-8e6a-95a440e448ea","545d6178-62b4-4e6e-a118-60e4f66d257d"
"265","846e8836-3a89-4f38-973f-fb7452929360","1992-08-17","Antonio",70,"Andrews","Antonio Andrews","RB",510000,"nfl-antonio-andrews","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","a8004516-b1d9-44df-b6ba-d5e4b7d9d1d7"
"279","2ff562d8-1759-4589-af37-c02a37ef430c","1991-05-28","Blake",76,"Annen","Blake Annen","TE",0,"nfl-blake-annen","05da6032-e719-4daf-8e6a-95a440e448ea","50990622-f5d7-4597-b9b3-c73c9be32af2"
"285","30e2d4ec-c9d7-4779-92b8-c055452bd086","1993-05-29","Danny",72,"Anthrop","Danny Anthrop","WR",NA,"nfl-danny-anthrop","4934c69f-7843-4bab-97e8-8dc941a2a226","557d1013-6b50-4998-885b-d121af071867"
"292","fa98ad8f-3cbe-421f-b860-a712796590d0","1993-06-04","Austin",77,"Appleby","Austin Appleby","QB",NA,"nfl-austin-appleby",NA,"d61f132b-29f6-4140-847b-efb50ea9ccba"
"315","0050529c-561e-482d-a656-478b10eec517",NA,"DeAnthony",71,"Arnett","DeAnthony Arnett","WR",NA,"nfl-deanthony-arnett","4934c69f-7843-4bab-97e8-8dc941a2a226","e6094723-20f3-417a-87d2-1ccc0b7a6388"
"317","234021c3-0923-4091-83e1-4ca31898993d",NA,"Dan",78,"Arnold","Dan Arnold","WR",NA,"nfl-dan-arnold",NA,"a192531d-e60c-4256-8220-f3538dd8b020"
"320","e0b633f5-bd64-4946-a3c8-b7e80803a647","1985-11-07","Adrian",75,"Arrington","Adrian Arrington","WR",NA,"nfl-adrian-arrington","4934c69f-7843-4bab-97e8-8dc941a2a226","a192531d-e60c-4256-8220-f3538dd8b020"
"325","88a59242-3a52-4a60-b919-905c36d601fb","1990-06-23","Cameron",70,"Artis-Payne","Cameron Artis-Payne","RB",476563,"nfl-cameron-artis-payne","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","767f5024-184b-434b-9e52-90bb4375ca84"
"335","e1721446-c1ae-4f6b-8186-bb4c900ea656","1987-07-24","Matt",72,"Asiata","Matt Asiata","RB",800000,"nfl-matt-asiata","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9"
"348","7a75b784-4c96-47e7-92eb-723ba787b4c8","1992-11-29","George",73,"Atkinson","George Atkinson III","RB",112200,"nfl-george-atkinson-iii","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","bf836ba5-77d0-4125-aa8a-ab785705eb29"
"353","30091997-8d74-46d5-90b7-dced8951d82c",NA,"Antony",77,"Auclair","Antony Auclair","TE",NA,"nfl-antony-auclair",NA,"0d0cfd49-bea6-4ad0-a263-5a350865b99e"
"365","0b3c257e-686c-4bd2-abab-3d65d550070d","1991-03-15","Tavon",68,"Austin","Tavon Austin","WR",3477546,"nfl-tavon-austin","4934c69f-7843-4bab-97e8-8dc941a2a226","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2"
"371","4f839924-e94b-4ff1-8b92-288e53e9c59f","1984-06-12","Donnie",71,"Avery","Donnie Avery","WR",NA,"nfl-donnie-avery","4934c69f-7843-4bab-97e8-8dc941a2a226","3a857729-4c8c-4dde-9cad-359cab5990de"
"380","74c8bae7-3b33-4c94-b0bd-17b78311447a","1994-07-07","Demarcus",71,"Ayers","Demarcus Ayers","WR",NA,"nfl-demarcus-ayers","4934c69f-7843-4bab-97e8-8dc941a2a226","e5796fc5-4c5e-486d-a76d-5879fd2f5117"
"394","ece27a37-0d33-42dd-8df5-12f0ea18819c","1993-02-26","Kennard",75,"Backman","Kennard Backman","TE",457621,"nfl-kennard-backman","05da6032-e719-4daf-8e6a-95a440e448ea","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9"
"412","3eeb46aa-ec65-473f-aa0c-2056491bc63b","1993-07-29","Rasheed",73,"Bailey","Rasheed Bailey","WR",0,"nfl-rasheed-bailey","4934c69f-7843-4bab-97e8-8dc941a2a226","ecf6a705-7a54-4f36-9dcd-09a0c53e733b"
"415","975cc5ac-238e-4a56-8080-3b532e530d52","1990-11-11","Stedman",70,"Bailey","Stedman Bailey","WR",729206,"nfl-stedman-bailey","4934c69f-7843-4bab-97e8-8dc941a2a226","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2"
"425","d94ad4ee-59d7-4d6e-96dd-4ed3080f5e5d","1979-11-18","Chris",75,"Baker","Chris Baker","TE",NA,"chris-baker","05da6032-e719-4daf-8e6a-95a440e448ea","8112be50-1ec2-47c0-ab27-b4fc4654aa5b"
"432","c2654b03-eff0-4b8e-9960-cbbfd65da87c","1986-12-25","Josh",75,"Baker","Josh Baker","TE",NA,"nfl-josh-baker","05da6032-e719-4daf-8e6a-95a440e448ea","8112be50-1ec2-47c0-ab27-b4fc4654aa5b"
"450","0e924229-73fa-4514-aa3a-57a9b9fec706","1988-09-21","Doug",70,"Baldwin","Doug Baldwin","WR",4650000,"nfl-doug-baldwin","4934c69f-7843-4bab-97e8-8dc941a2a226","e6094723-20f3-417a-87d2-1ccc0b7a6388"
"454","9f825016-7dc7-48f2-a628-c134d3bafc74","1989-08-10","Jon",76,"Baldwin","Jon Baldwin","WR",NA,"nfl-jonathan-baldwin","4934c69f-7843-4bab-97e8-8dc941a2a226","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"462","5370f7d8-814b-48e4-ab8a-78ba080ba132","1984-10-06","Reggie",71,"Ball","Reggie Ball","WR",NA,"nfl-reggie-ball","4934c69f-7843-4bab-97e8-8dc941a2a226","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9"
"466","2cfb853e-48ce-4d1a-8bdc-5f61a3c825b2","1987-12-21","Jake",78,"Ballard","Jake Ballard","TE",NA,"nfl-jake-ballard","05da6032-e719-4daf-8e6a-95a440e448ea","47b8904b-4d56-481a-ab06-6e56dfe59f78"
"477","d99cf0ca-1f26-43c2-9588-55b95a5c6795","1994-07-13","Brandon",75,"Banks","Brandon Banks","WR",NA,"nfl-brandon-banks","4934c69f-7843-4bab-97e8-8dc941a2a226","1c4f553a-bde3-4229-8565-9c40401a9956"
"486","83d79d9e-8a83-40ed-b73a-13493c11360a","1979-04-23","Alex",77,"Bannister","Alex Bannister","WR",NA,"nfl-alex-bannister","4934c69f-7843-4bab-97e8-8dc941a2a226","15cdbc22-7b1e-4012-a731-987ca52e3c05"
"489","86babebb-dd6a-4264-9fed-722c1c17d1be","1988-11-12","Joe",70,"Banyard","Joe Banyard","RB",0,"nfl-joe-banyard","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","50990622-f5d7-4597-b9b3-c73c9be32af2"
"493","77af8638-0de6-4635-b548-b0365e585a08","1983-06-10","Marion",71,"Barber","Marion Barber","RB",NA,"nfl-marion-barber","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","009ff336-845b-411b-8ee5-9b3089e99398"
"494","beb997a6-88b3-47bc-bc31-d86c51633ad8","1994-06-27","Peyton",71,"Barber","Peyton Barber","RB",NA,"nfl-peyton-barber","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","0d0cfd49-bea6-4ad0-a263-5a350865b99e"
"497","d7ae3893-f226-4f70-84f0-15b8975e3e77","1975-04-07","Tiki",70,"Barber","Tiki Barber","RB",NA,"nfl-tiki-barber","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","47b8904b-4d56-481a-ab06-6e56dfe59f78"
"509","819bd452-058d-423b-8d1b-67daec2cf2c2","1990-09-08","Matt",74,"Barkley","Matt Barkley","QB",592500,"nfl-matt-barkley","bca0ee16-51ba-4a18-9b2b-57412b101677","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"513","768b18f3-b707-479a-8185-4baa3cfb8a34","1989-04-28","Kenjon",69,"Barner","Kenjon Barner","RB",510000,"nfl-kenjon-barner","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","d1f76207-7303-484f-a25f-b00d1eb46ecd"
"538","93a4a6df-1758-4f52-a8ed-d4ac5a4bd6e8","1985-09-22","Gary",78,"Barnidge","Gary Barnidge","TE",1200000,"nfl-gary-barnidge","05da6032-e719-4daf-8e6a-95a440e448ea","ecf6a705-7a54-4f36-9dcd-09a0c53e733b"
"567","30c40e0f-531f-48e7-a63d-eedaa8b2cd5a","1983-05-11","Brett",73,"Basanez","Brett Basanez","QB",NA,"nfl-brett-basanez","bca0ee16-51ba-4a18-9b2b-57412b101677","009ff336-845b-411b-8ee5-9b3089e99398"
"570","8cd06f1c-de91-4fac-b447-795ffd8affbe","1982-09-04","Hank",76,"Baskett","Hank Baskett","WR",NA,"nfl-hank-baskett","4934c69f-7843-4bab-97e8-8dc941a2a226","273bc0eb-8984-4474-bbc8-5cce491aa662"
"591","431f7386-7d83-4836-8bfd-a529c79b5a28","1980-02-22","Arnaz",73,"Battle","Arnaz Battle","WR",NA,"nfl-arnaz-battle","4934c69f-7843-4bab-97e8-8dc941a2a226","e5796fc5-4c5e-486d-a76d-5879fd2f5117"
"593","c4640f4a-df5b-407f-b264-6d3556c588fb","1983-10-01","Jackie",74,"Battle","Jackie Battle","RB",NA,"nfl-jackie-battle","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","3a857729-4c8c-4dde-9cad-359cab5990de"
"605","e7657d78-8db3-4f0e-8df2-4ca1d1fb6949","1983-07-28","Steve",72,"Baylark","Steve Baylark","RB",NA,"nfl-steve-baylark","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","77c57737-b688-4bbf-a127-7b7f0ef8bcdd"
"606","16555ab7-52e8-4798-a6ad-8a7cdd70cf02",NA,"Evan",78,"Baylis","Evan Baylis","TE",NA,"nfl-evan-baylis",NA,"545d6178-62b4-4e6e-a118-60e4f66d257d"
"616","d6dec843-e7b3-4ba0-8786-17310df6c59d","1989-04-26","Cole",68,"Beasley","Cole Beasley","WR",2000000,"nfl-cole-beasley","4934c69f-7843-4bab-97e8-8dc941a2a226","d61f132b-29f6-4140-847b-efb50ea9ccba"
"619","af342ae6-f9b5-4573-af50-5b28cca790db","1993-11-16","C.J.",74,"Beathard","C.J. Beathard","QB",NA,"nfl-c-j-beathard",NA,"62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"627","4f11bdd1-04ad-4032-a7ba-b8cba83feae2","1977-08-08","Anthony",78,"Becht","Anthony Becht","TE",NA,"nfl-anthony-becht","05da6032-e719-4daf-8e6a-95a440e448ea","3a857729-4c8c-4dde-9cad-359cab5990de"
"628","3664ff1d-6127-41ba-bd6e-28e4aa476d71","1981-08-21","John",74,"Beck","John Beck","QB",NA,"nfl-john-beck","bca0ee16-51ba-4a18-9b2b-57412b101677","1c4f553a-bde3-4229-8565-9c40401a9956"
"630","7c44b1f5-cea1-4817-b972-2fe60c5befcb","1992-11-05","Odell",71,"Beckham","Odell Beckham Jr.","WR",2365045,"nfl-odell-beckham","4934c69f-7843-4bab-97e8-8dc941a2a226","47b8904b-4d56-481a-ab06-6e56dfe59f78"
"645","13402ce4-074d-45a1-8ab9-ce980e05757b","1991-08-07","Blake",78,"Bell","Blake Bell","TE",561283,"nfl-blake-bell","05da6032-e719-4daf-8e6a-95a440e448ea","62b050a0-42c8-4cdd-aaaf-1ee5bbb01bf3"
"656","8aea9e65-4e7b-4e42-a36c-756cbc44d644","1986-08-04","Joique",71,"Bell","Joique Bell","RB",3500000,"nfl-joique-bell","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9"
"660","2c16ab5a-9bb8-4334-8ac3-7155c0e67e78","1992-02-25","Kenny",73,"Bell","Kenny Bell","WR",369209,"nfl-kenny-bell","4934c69f-7843-4bab-97e8-8dc941a2a226","15cdbc22-7b1e-4012-a731-987ca52e3c05"
"661","563a1f5f-314a-4100-a1a9-ad5bb2f98181","1992-02-18","Le'Veon",73,"Bell","Le'Veon Bell","RB",1032082,"nfl-le-veon-bell","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","e5796fc5-4c5e-486d-a76d-5879fd2f5117"
"665","32473c50-a933-4cff-8525-8a99e78a19c4","1992-05-06","Reggie",71,"Bell","Reggie Bell","WR",0,"nfl-reggie-bell","4934c69f-7843-4bab-97e8-8dc941a2a226","a192531d-e60c-4256-8220-f3538dd8b020"
"666","68270a17-5403-4d06-94b3-0003b2ab4ef1","1981-03-02","Tatum",71,"Bell","Tatum Bell","RB",NA,"nfl-tatum-bell","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","6e1ae482-bd5e-40b3-a2d8-24c0a9eec333"
"669","01e25391-dab1-43f6-aa08-a55780568ce9","1989-05-18","Joshua",72,"Bellamy","Joshua Bellamy","WR",660000,"nfl-josh-bellamy","4934c69f-7843-4bab-97e8-8dc941a2a226","009ff336-845b-411b-8ee5-9b3089e99398"
"684","7d7ccc7f-420d-4326-8756-eb1b331de593","1991-02-05","Kelvin",77,"Benjamin","Kelvin Benjamin","WR",1741875,"nfl-kelvin-benjamin","4934c69f-7843-4bab-97e8-8dc941a2a226","767f5024-184b-434b-9e52-90bb4375ca84"
"685","9d68f589-344a-4b2f-9fef-d99e8e61a93d","1989-12-29","Travis",70,"Benjamin","Travis Benjamin","WR",779250,"nfl-travis-benjamin","4934c69f-7843-4bab-97e8-8dc941a2a226","d1f76207-7303-484f-a25f-b00d1eb46ecd"
"686","d76dc273-cea9-4370-a4ce-5a14a478e9df","1988-09-08","Arrelious",74,"Benn","Arrelious Benn","WR",388000,"nfl-arrelious-benn","4934c69f-7843-4bab-97e8-8dc941a2a226","0fc8a1cb-bb61-4eba-b448-1d313813f0d1"
"689","2368ba71-c1ee-49e6-b182-8b99e5578936","1978-08-26","Drew",77,"Bennett","Drew Bennett","WR",NA,"nfl-drew-bennett","4934c69f-7843-4bab-97e8-8dc941a2a226","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2"
"691","b1e82ccd-f6c2-4f42-aab2-b95b5a458755","1987-03-23","Earl",72,"Bennett","Earl Bennett","WR",NA,"nfl-earl-bennett","4934c69f-7843-4bab-97e8-8dc941a2a226","009ff336-845b-411b-8ee5-9b3089e99398"
"693","a0026dc6-dffd-450c-8612-761878a82673","1987-03-10","Martellus",78,"Bennett","Martellus Bennett","TE",6125000,"nfl-martellus-bennett","05da6032-e719-4daf-8e6a-95a440e448ea","ade9a19b-3dfb-4436-aefd-e54f1c0d1a20"
"694","7140b4c2-6013-484d-995a-84509e2f2954","1991-12-19","Michael",74,"Bennett","Michael Bennett","WR",0,"nfl-michael-bennett-6d270d60-848c-4be9-9c80-ed9ace85615c","4934c69f-7843-4bab-97e8-8dc941a2a226","6bb48096-ca08-40e3-8dd2-2d93d96e346e"
"695","d3c66e84-b017-48ab-a018-ef299d249677","1991-12-19","Michael",74,"Bennett","Michael Bennett","WR",NA,"nfl-michael-bennett-a6f36f4f-a07f-4fb0-9255-2a0159935991",NA,"6bb48096-ca08-40e3-8dd2-2d93d96e346e"
"702","80c2c897-c9c4-44f6-b4f3-70ba36539bb0","1982-12-28","Cedric",71,"Benson","Cedric Benson","RB",NA,"nfl-cedric-benson","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","6bb48096-ca08-40e3-8dd2-2d93d96e346e"
"711","467072d0-f7a6-4624-913a-2f5d23c2d121","1993-02-07","Mike",72,"Bercovici","Mike Bercovici","QB",NA,"nfl-mike-bercovici","bca0ee16-51ba-4a18-9b2b-57412b101677","d1f76207-7303-484f-a25f-b00d1eb46ecd"
"715","662ddbfb-eab7-47f7-8ec7-b39b07b744f4",NA,"Justin",73,"Berger","Justin Berger","WR",NA,"nfl-justin-berger",NA,"557d1013-6b50-4998-885b-d121af071867"
"724","6fe4d4f5-8cc3-4961-85cf-a2487cf073eb","1981-07-04","Brock",73,"Berlin","Brock Berlin","QB",NA,"nfl-brock-berlin","bca0ee16-51ba-4a18-9b2b-57412b101677","3f53d6c3-46ae-4a68-833e-fc29c8ecbdb2"
"727","5a7f1462-a35e-4552-876a-4eccd9c6b266","1991-11-22","Giovani",69,"Bernard","Giovani Bernard","HB",920000,"nfl-giovani-bernard","ade966f1-3c41-435a-9015-6c595cdb8383","6bb48096-ca08-40e3-8dd2-2d93d96e346e"
"741","0bd3e143-713f-47c5-9dd0-57cf27177d01","1990-05-09","Brenton",75,"Bersin","Brenton Bersin","WR",510000,"nfl-brenton-bersin","4934c69f-7843-4bab-97e8-8dc941a2a226","767f5024-184b-434b-9e52-90bb4375ca84"
"743","5414f346-122d-484b-9bb0-f4608e862432","1985-09-13","Davone",70,"Bess","Davone Bess","WR",NA,"nfl-davone-bess","4934c69f-7843-4bab-97e8-8dc941a2a226","49b7f5ba-da40-4b42-be4b-c68b4f9257e8"
"744","fb68e253-1b4d-47d0-99ea-9bc25060ff8c","1989-01-30","Jahvid",70,"Best","Jahvid Best","RB",NA,"nfl-jahvid-best","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9"
"748","8215c448-0921-41dd-8d38-6145d0a963a5","1988-07-03","McLeod",75,"Bethel-Thompson","McLeod Bethel-Thompson","QB",0,"nfl-mcleod-bethel-thompson","bca0ee16-51ba-4a18-9b2b-57412b101677","9990f062-0d8d-4dbf-82cc-73f3d5dfe532"
